Sl. No.,Name of the Police Station,Land line number,Mobile number,E-mail address
West Tripura District,,,,
1,Airport Police Station,91381-234-2258,9436773561,"ocarp@tripurapolice.nic.in
"
2,Amtali Police Station,91381-237-0385,9436773569,ocamt@tripurapolice.nic.in
3,Budhjung Nagar Police Station,91381-239-1104,9436773567,ocbdjn@tripurapolice.nic.in
4,City Control (Agartala),91381-232-5784 / 100,,
5,East Agartala. Police Station,91381-232-5774,9436773556,oceastagt@tripurapolice.nic.in
6,East Agartala Women PS Agartala,91381-232-4918,9436773557,oceastw@tripurapolice.nic.in
7,Jirania Police Station,91381-234-6222,9436773560,ocjrn2@tripurapolice.nic.in
8,Lefunga Police Station,91381-286-5283,9436773575,oclfg@tripurapolice.nic.in
9,Mandai Police Station,91381-234-6482,9436773578,ocmdi@tripurapolice.nic.in
10,Radhapur Police Station,91381-253-0035,9436773571,ocrdp@tripurapolice.nic.in
11,Ranirbazar Police Station,91381-239-6787,9436773577,ocrnb@tripurapolice.nic.in
12,Sedhai Police Station,91381-234-3222,9436773564,ocsdi@tripurapolice.nic.in
13,Srinagar Police Station,91381-286-1322,9436773572,Ocsrn@tripurapolice.nic.in
14,West Agartala Police Station,91381-232-5765,9436773551,ocwestagt@tripurapolice.nic.in
15,West Agartala Women PS Agartala,91381-232-5454,9436773553,ocwestw@tripurapolice.nic.in
16,New Capital Complex,91381-235-0048,9436773573,
17,A.D.Nagar Police Station,91381-237-0021,9436773559,"ocadn@tripurapolice.nic.in
"
Gomati Tripura District,NA,NA,,
 ,Birganj Police Station,913821-263-236,9436773601,ocbrgps@tripurapolice.nic.in
2,Kakraban Police Station,913821-265-236,9436773598,ockkbps@tripurapolice.nic.in
3,Karbook Police Station,913821-269-388,9436773604,ockbkps@tripurapolice.nic.in
4,Killa Police Station,913821-274-252,9436773597,ockillaps@tripurapolice.nic.in
5,Nutanbazar Police Station,913821-264-236,9436773603,ocntbps@tripurapolice.nic.in
6,OMPI Police Station,913825-264-205,9436773600,ocompips@tripurapolice.nic.in
7,R.K.PUR Police Station,913821-223-517,9436773595,ocrkpps@tripurapolice.nic.in
8,Shilachari Police Station,913823-277-222,9436773594,ocslcps@tripurapolice.nic.in
9,Taidu Police Station,913825-264-319,9436773599,octdups@tripurapolice.nic.in
10,Women PS R.K. Pur,913821-222-495,9436773596,ocudpwps@tripurapolice.nic.in
Khowai Tripura District,,,,
1,Champahowar Police Station,913825-261-222,9436773543,occph@tripurapolice.nic.in
2,Kalyanpur Police Station,913825-222-225,9436773544,ockln@tripurapolice.nic.in
3,Khowai Police Station,913825-295-897,9436773542,ockhw@tripurapolice.nic.in
4,Mungiacami Police Station,913825-262-221,9436773548,ocmgk@tripurapolice.nic.in
5,Teliamura Police Station,,9436773546,octlm@tripurapolice.nic.in
North Tripura District,,,,
